epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8763,1.36851,3.42723,1.43907,0.54641,0.27304,0.22257,0.14967,1.35604,2.49122,1.41115,0.0670695,0.000332632,0.000332632
2,70.3359,1.24478,2.08301,1.33885,0.60902,0.459,0.26946,0.18541,1.25193,1.97571,1.32583,0.0340365,0.000633,0.000633
3,100.772,1.16162,1.72488,1.26658,0.50743,0.52237,0.28904,0.19665,1.2062,1.76345,1.28665,0.000970543,0.000900368,0.000900368
4,131.109,1.09572,1.54437,1.21977,0.38913,0.58308,0.31982,0.21664,1.16626,1.59654,1.25435,0.0008515,0.0008515,0.0008515
5,161.922,1.04212,1.41524,1.18449,0.38399,0.62134,0.33283,0.22053,1.14254,1.53527,1.24132,0.000802,0.000802,0.000802
6,192.021,1.01657,1.34724,1.16961,0.41947,0.63736,0.34778,0.22789,1.13558,1.45695,1.23014,0.0007525,0.0007525,0.0007525
7,222.051,0.98832,1.29375,1.15064,0.41635,0.6445,0.34934,0.22813,1.11693,1.46471,1.21828,0.000703,0.000703,0.000703
8,252.129,0.97822,1.26092,1.14333,0.44105,0.66323,0.35194,0.23145,1.1113,1.4329,1.22144,0.0006535,0.0006535,0.0006535
9,282.085,0.963,1.22157,1.13408,0.43441,0.67839,0.3731,0.24223,1.08145,1.41118,1.20186,0.000604,0.000604,0.000604
10,312.05,0.94525,1.20587,1.12735,0.42137,0.67695,0.37093,0.24257,1.07277,1.42179,1.1942,0.0005545,0.0005545,0.0005545
11,342.161,0.94524,1.2466,1.13697,0.43522,0.68075,0.37262,0.24491,1.07545,1.43043,1.19788,0.000505,0.000505,0.000505
12,372.026,0.92101,1.19646,1.12062,0.43124,0.71702,0.38604,0.24561,1.08547,1.41147,1.20097,0.0004555,0.0004555,0.0004555
13,401.682,0.91254,1.18523,1.12039,0.45186,0.71265,0.38259,0.25006,1.04871,1.37593,1.17914,0.000406,0.000406,0.000406
14,431.37,0.89723,1.15438,1.10748,0.46355,0.70062,0.39766,0.25856,1.05112,1.36238,1.1771,0.0003565,0.0003565,0.0003565
15,460.832,0.88629,1.13724,1.0998,0.44733,0.71561,0.39467,0.25982,1.03539,1.34747,1.17299,0.000307,0.000307,0.000307
16,490.508,0.88058,1.12473,1.09663,0.44478,0.71465,0.38307,0.25043,1.0424,1.35483,1.17137,0.0002575,0.0002575,0.0002575
17,520.216,0.87237,1.11511,1.09138,0.45193,0.72314,0.39127,0.2546,1.03027,1.34985,1.16571,0.000208,0.000208,0.000208
18,549.995,0.86223,1.09998,1.08537,0.45661,0.71933,0.39761,0.25946,1.02741,1.33471,1.16441,0.0001585,0.0001585,0.0001585
19,579.565,0.85561,1.09005,1.08224,0.43811,0.72608,0.39812,0.26032,1.02274,1.3303,1.16292,0.000109,0.000109,0.000109
20,609.355,0.85047,1.08847,1.0799,0.45504,0.73381,0.39901,0.26295,1.01778,1.33004,1.15915,5.95e-05,5.95e-05,5.95e-05
