epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0303,1.76041,3.65607,1.72957,0.00429,0.24572,0.02372,0.00614,2.41788,4.09371,2.87031,0.0801,0.0001,0.0001
2,14.3395,1.66288,2.64212,1.6484,0.01192,0.28822,0.03712,0.01175,2.54603,3.98527,2.85516,0.0591999,0.000199926,0.000199926
3,17.0666,1.64409,2.23588,1.62157,0.61264,0.04535,0.10804,0.0473,2.07145,3.52287,2.31094,0.0382947,0.000294655,0.000294655
4,19.7537,1.59523,1.97712,1.58944,0.49888,0.2529,0.28394,0.12874,1.86863,2.62357,1.94569,0.0173842,0.000384186,0.000384186
5,22.4874,1.58502,1.84872,1.57203,0.39736,0.33283,0.29237,0.14623,1.76936,2.58353,1.87068,0.0004505,0.0004505,0.0004505
6,25.2122,1.60933,1.81228,1.57606,0.47392,0.38525,0.28642,0.12601,1.82602,2.40279,1.8605,0.000438125,0.000438125,0.000438125
7,27.8927,1.51706,1.72495,1.53066,0.43291,0.40296,0.29378,0.14645,1.73628,2.50066,1.83026,0.00042575,0.00042575,0.00042575
8,30.7082,1.55268,1.67594,1.53863,0.63662,0.4004,0.40243,0.19459,1.75299,2.09167,1.81023,0.000413375,0.000413375,0.000413375
9,33.406,1.50905,1.60893,1.5039,0.63778,0.3909,0.40872,0.20397,1.7231,2.0044,1.76828,0.000401,0.000401,0.000401
10,36.3234,1.4762,1.56554,1.50014,0.37557,0.46736,0.41314,0.20174,1.75782,1.91633,1.79348,0.000388625,0.000388625,0.000388625
11,38.9684,1.49825,1.48889,1.47951,0.68936,0.40523,0.45308,0.24176,1.67953,1.77733,1.75348,0.00037625,0.00037625,0.00037625
12,41.7446,1.44225,1.50619,1.45323,0.73643,0.4297,0.47308,0.26114,1.59624,1.74057,1.652,0.000363875,0.000363875,0.000363875
13,44.3941,1.40355,1.38637,1.42817,0.7778,0.45968,0.51519,0.27732,1.6224,1.61999,1.66998,0.0003515,0.0003515,0.0003515
14,47.0849,1.39464,1.36627,1.40643,0.52799,0.44417,0.50236,0.27264,1.59711,1.64981,1.68699,0.000339125,0.000339125,0.000339125
15,49.7182,1.3689,1.3571,1.42466,0.53397,0.46909,0.50998,0.27255,1.62645,1.55084,1.72964,0.00032675,0.00032675,0.00032675
16,52.5928,1.38503,1.3168,1.42578,0.7586,0.43871,0.51588,0.27188,1.67108,1.6165,1.72103,0.000314375,0.000314375,0.000314375
17,55.3844,1.39987,1.31151,1.42405,0.68211,0.48585,0.5139,0.2901,1.62181,1.56807,1.6816,0.000302,0.000302,0.000302
18,58.0458,1.37738,1.26016,1.40777,0.56469,0.51329,0.55167,0.30092,1.65423,1.54221,1.71702,0.000289625,0.000289625,0.000289625
19,60.6885,1.35255,1.23482,1.39313,0.55858,0.52253,0.55532,0.29398,1.63848,1.45189,1.70537,0.00027725,0.00027725,0.00027725
20,63.5847,1.29467,1.19345,1.36141,0.58298,0.51603,0.55592,0.31339,1.58922,1.45346,1.63428,0.000264875,0.000264875,0.000264875
21,66.4035,1.32226,1.20797,1.37287,0.60823,0.50714,0.56532,0.31104,1.56921,1.43201,1.62266,0.0002525,0.0002525,0.0002525
22,69.0471,1.27237,1.13409,1.33897,0.59768,0.53646,0.58668,0.33346,1.54849,1.31059,1.6013,0.000240125,0.000240125,0.000240125
23,71.6941,1.30379,1.17058,1.35743,0.71785,0.54619,0.57591,0.31862,1.60482,1.34562,1.63103,0.00022775,0.00022775,0.00022775
24,74.5895,1.24639,1.12053,1.32181,0.77251,0.53473,0.58517,0.32305,1.5798,1.32763,1.63629,0.000215375,0.000215375,0.000215375
25,77.3802,1.28001,1.13112,1.33995,0.59145,0.53181,0.58926,0.3333,1.5785,1.27762,1.65208,0.000203,0.000203,0.000203
26,80.0037,1.25208,1.0923,1.33109,0.58767,0.55581,0.59058,0.34215,1.51743,1.27306,1.59472,0.000190625,0.000190625,0.000190625
27,82.6378,1.24308,1.06696,1.31806,0.6062,0.52507,0.57409,0.32785,1.55147,1.31354,1.59455,0.00017825,0.00017825,0.00017825
28,85.5796,1.25014,1.05497,1.31007,0.62435,0.53932,0.59751,0.34333,1.54143,1.2849,1.60298,0.000165875,0.000165875,0.000165875
29,88.4105,1.21322,1.04871,1.28624,0.62115,0.57137,0.60973,0.35158,1.54763,1.23024,1.60111,0.0001535,0.0001535,0.0001535
30,91.0712,1.20705,1.01015,1.27876,0.6371,0.56094,0.62167,0.36136,1.50573,1.19747,1.58754,0.000141125,0.000141125,0.000141125
31,94.6208,1.22424,0.99006,1.3119,0.62487,0.53292,0.58931,0.33893,1.57907,1.48724,1.62749,0.00012875,0.00012875,0.00012875
32,97.5938,1.22315,0.95689,1.30582,0.62669,0.60303,0.62354,0.36218,1.50622,1.19752,1.59351,0.000116375,0.000116375,0.000116375
33,100.379,1.19737,0.94188,1.29519,0.61874,0.58799,0.61443,0.35361,1.54514,1.21679,1.63281,0.000104,0.000104,0.000104
34,103,1.17146,0.89838,1.27463,0.64806,0.56493,0.62238,0.3539,1.5306,1.19175,1.61233,9.1625e-05,9.1625e-05,9.1625e-05
35,105.679,1.17173,0.90473,1.27376,0.65195,0.58783,0.63535,0.3717,1.49063,1.16372,1.57578,7.925e-05,7.925e-05,7.925e-05
36,108.319,1.15007,0.85652,1.25588,0.65371,0.57532,0.63079,0.3677,1.51676,1.16052,1.59391,6.6875e-05,6.6875e-05,6.6875e-05
37,110.978,1.16993,0.88009,1.26278,0.63593,0.59017,0.63814,0.37602,1.48847,1.14115,1.55757,5.45e-05,5.45e-05,5.45e-05
38,113.638,1.14196,0.88399,1.26419,0.66485,0.56432,0.63449,0.37414,1.49917,1.14397,1.57009,4.2125e-05,4.2125e-05,4.2125e-05
39,116.366,1.12765,0.8534,1.24453,0.63342,0.60308,0.64204,0.38088,1.47478,1.12593,1.5495,2.975e-05,2.975e-05,2.975e-05
40,119.091,1.12081,0.84069,1.24579,0.62191,0.60286,0.63825,0.3775,1.48567,1.1193,1.5662,1.7375e-05,1.7375e-05,1.7375e-05
