epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.76675,1.73299,3.63515,1.71629,0.00149,0.27553,0.01458,0.00412,2.39366,4.06267,2.95075,0.081095,9.5e-05,9.5e-05
2,12.8035,1.6766,2.66431,1.62827,0.00559,0.26669,0.02829,0.00847,2.60119,4.28525,2.9701,0.0611911,0.000191139,0.000191139
3,16.4034,1.69301,2.20658,1.66123,0.60869,0.18314,0.15984,0.07077,2.14248,3.81165,2.32374,0.0412833,0.000283318,0.000283318
4,19.4104,1.59819,1.99213,1.59773,0.43189,0.27805,0.24161,0.09988,2.09949,2.79224,2.17828,0.0213715,0.000371537,0.000371537
5,22.5289,1.62215,1.85067,1.58218,0.43082,0.31834,0.28198,0.1331,1.87494,2.60211,1.97096,0.0014558,0.000455796,0.000455796
6,25.2292,1.60183,1.80019,1.55835,0.42577,0.42462,0.38534,0.17669,1.80812,2.36464,1.86416,0.0004505,0.0004505,0.0004505
7,27.8284,1.53587,1.7091,1.5407,0.58251,0.40281,0.4628,0.22222,1.73803,2.09995,1.78812,0.0004406,0.0004406,0.0004406
8,30.4065,1.55001,1.63633,1.53347,0.56648,0.51234,0.52992,0.26355,1.71066,1.85283,1.76322,0.0004307,0.0004307,0.0004307
9,32.975,1.50106,1.56699,1.49958,0.60559,0.52226,0.55059,0.28307,1.6508,1.75958,1.73492,0.0004208,0.0004208,0.0004208
10,35.9236,1.46631,1.5254,1.47842,0.61486,0.47251,0.5141,0.25222,1.74634,1.87506,1.81873,0.0004109,0.0004109,0.0004109
11,38.9393,1.49411,1.50063,1.47794,0.62143,0.54901,0.58813,0.30797,1.64435,1.68115,1.69331,0.000401,0.000401,0.000401
12,41.9374,1.50073,1.47529,1.46882,0.6429,0.56847,0.58995,0.31459,1.63196,1.59502,1.67726,0.0003911,0.0003911,0.0003911
13,45.5379,1.43015,1.39484,1.45006,0.69159,0.55475,0.62659,0.32904,1.63812,1.58756,1.7028,0.0003812,0.0003812,0.0003812
14,48.2012,1.37499,1.36779,1.41359,0.64574,0.55135,0.61927,0.33455,1.62625,1.56839,1.68699,0.0003713,0.0003713,0.0003713
15,50.7699,1.37079,1.30095,1.40065,0.69557,0.58377,0.63775,0.34006,1.64415,1.47473,1.69105,0.0003614,0.0003614,0.0003614
16,53.3345,1.39738,1.28928,1.41719,0.69415,0.57642,0.64688,0.35745,1.60583,1.4837,1.68446,0.0003515,0.0003515,0.0003515
17,56.0567,1.3645,1.27569,1.40975,0.67039,0.58939,0.61831,0.3299,1.6543,1.52827,1.72023,0.0003416,0.0003416,0.0003416
18,58.5817,1.36018,1.26808,1.39475,0.69125,0.58812,0.64519,0.34862,1.63834,1.46717,1.67137,0.0003317,0.0003317,0.0003317
19,61.1278,1.33051,1.21654,1.3762,0.6402,0.65818,0.65129,0.34601,1.64398,1.47185,1.67996,0.0003218,0.0003218,0.0003218
20,63.6553,1.33677,1.19249,1.39009,0.70581,0.61833,0.67804,0.3677,1.62631,1.43796,1.68878,0.0003119,0.0003119,0.0003119
21,66.199,1.31469,1.18202,1.37038,0.7338,0.62347,0.69298,0.39522,1.60416,1.39476,1.64211,0.000302,0.000302,0.000302
22,68.8511,1.31059,1.16973,1.34353,0.78494,0.59708,0.70981,0.38128,1.61333,1.34443,1.66211,0.0002921,0.0002921,0.0002921
23,71.38,1.28827,1.15577,1.34213,0.70871,0.61739,0.67716,0.37561,1.61761,1.44044,1.6756,0.0002822,0.0002822,0.0002822
24,73.9011,1.26528,1.09573,1.33325,0.72822,0.63568,0.69448,0.38214,1.61466,1.35498,1.66813,0.0002723,0.0002723,0.0002723
25,76.4244,1.2844,1.112,1.34982,0.73579,0.57571,0.66497,0.37621,1.60786,1.36158,1.68318,0.0002624,0.0002624,0.0002624
26,78.9474,1.24169,1.06821,1.32502,0.74343,0.6339,0.70513,0.39921,1.57985,1.28712,1.63875,0.0002525,0.0002525,0.0002525
27,81.5057,1.24978,1.06395,1.31103,0.7037,0.67983,0.70559,0.39314,1.56417,1.29159,1.6418,0.0002426,0.0002426,0.0002426
28,84.025,1.20124,1.02509,1.29805,0.69054,0.68277,0.71421,0.40222,1.56999,1.29364,1.63604,0.0002327,0.0002327,0.0002327
29,86.6621,1.20852,0.99341,1.28917,0.7141,0.67962,0.72781,0.41566,1.54837,1.27604,1.62443,0.0002228,0.0002228,0.0002228
30,89.1942,1.22785,1.03379,1.29783,0.71897,0.6506,0.71351,0.40359,1.56962,1.31666,1.62744,0.0002129,0.0002129,0.0002129
31,91.7135,1.21629,1.00157,1.28308,0.69281,0.66922,0.70264,0.40061,1.56132,1.27483,1.66035,0.000203,0.000203,0.000203
32,94.2454,1.20111,0.98364,1.2851,0.73481,0.65691,0.71809,0.40188,1.60005,1.25319,1.65659,0.0001931,0.0001931,0.0001931
33,96.7579,1.17292,0.94995,1.26971,0.72264,0.71259,0.73659,0.41796,1.55068,1.17735,1.621,0.0001832,0.0001832,0.0001832
34,99.2908,1.19854,0.9701,1.27383,0.81261,0.64111,0.73174,0.40378,1.58634,1.21191,1.64306,0.0001733,0.0001733,0.0001733
35,101.81,1.16871,0.9605,1.25888,0.73731,0.67711,0.71598,0.40124,1.55571,1.21601,1.60094,0.0001634,0.0001634,0.0001634
36,104.424,1.13153,0.92742,1.24438,0.65626,0.68164,0.68995,0.39653,1.56014,1.23418,1.63298,0.0001535,0.0001535,0.0001535
37,106.94,1.15012,0.92486,1.24808,0.70558,0.68277,0.72583,0.39837,1.58582,1.21812,1.64385,0.0001436,0.0001436,0.0001436
38,109.454,1.14018,0.91094,1.23692,0.71641,0.66761,0.71426,0.38868,1.62278,1.21688,1.69491,0.0001337,0.0001337,0.0001337
39,111.969,1.13108,0.89303,1.23364,0.74968,0.6901,0.7367,0.42424,1.56168,1.18831,1.61668,0.0001238,0.0001238,0.0001238
40,114.509,1.1301,0.89767,1.23895,0.75538,0.6782,0.73789,0.42791,1.5476,1.1843,1.61388,0.0001139,0.0001139,0.0001139
41,117.747,1.18675,0.91139,1.27953,0.78218,0.6516,0.72562,0.42087,1.55423,1.29739,1.6177,0.000104,0.000104,0.000104
42,120.259,1.15691,0.84934,1.24869,0.76215,0.66849,0.72538,0.41733,1.5592,1.22326,1.64556,9.41e-05,9.41e-05,9.41e-05
43,122.86,1.1329,0.80596,1.24152,0.77086,0.66494,0.7295,0.42827,1.53132,1.18849,1.60157,8.42e-05,8.42e-05,8.42e-05
44,125.391,1.13725,0.80443,1.24209,0.74941,0.69872,0.73998,0.42215,1.53687,1.17768,1.61558,7.43e-05,7.43e-05,7.43e-05
45,127.884,1.11726,0.79508,1.24593,0.75118,0.70023,0.73891,0.41501,1.56361,1.161,1.64546,6.44e-05,6.44e-05,6.44e-05
46,130.382,1.10339,0.78157,1.23911,0.76505,0.70384,0.75675,0.44019,1.51079,1.12955,1.58032,5.45e-05,5.45e-05,5.45e-05
47,132.9,1.09217,0.76646,1.23324,0.73994,0.69515,0.73268,0.42465,1.55645,1.14394,1.63305,4.46e-05,4.46e-05,4.46e-05
48,135.391,1.06958,0.75973,1.21547,0.77143,0.69717,0.75065,0.44135,1.51663,1.13956,1.59243,3.47e-05,3.47e-05,3.47e-05
49,137.915,1.077,0.75947,1.20747,0.76995,0.70575,0.75321,0.4389,1.52275,1.13075,1.60372,2.48e-05,2.48e-05,2.48e-05
50,140.507,1.06143,0.75896,1.20107,0.77893,0.68824,0.75058,0.43525,1.53509,1.13009,1.61863,1.49e-05,1.49e-05,1.49e-05
