epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69809,1.92979,3.37434,1.85568,0.52464,0.14262,0.16282,0.06373,2.12426,3.69444,2.28772,0.081095,9.5e-05,9.5e-05
2,7.32952,1.72796,1.98649,1.65345,0.38914,0.40732,0.32576,0.14039,1.96947,2.99803,2.04546,0.0611911,0.000191139,0.000191139
3,9.85818,1.64807,1.7888,1.61024,0.45657,0.4874,0.41409,0.18445,1.80769,2.71614,1.87403,0.0412833,0.000283318,0.000283318
4,12.3654,1.54808,1.64975,1.55053,0.57164,0.5001,0.51812,0.25323,1.72952,2.74928,1.80782,0.0213715,0.000371537,0.000371537
5,14.8986,1.57889,1.54381,1.53798,0.54627,0.46804,0.49885,0.25198,1.70536,2.38932,1.80082,0.0014558,0.000455796,0.000455796
6,17.383,1.51346,1.49312,1.5037,0.56153,0.5093,0.54161,0.28419,1.68645,2.10067,1.75374,0.0004505,0.0004505,0.0004505
7,19.8303,1.50811,1.43276,1.49927,0.62739,0.54879,0.58671,0.2885,1.70561,1.79279,1.78464,0.0004406,0.0004406,0.0004406
8,22.2608,1.45515,1.34922,1.45869,0.59428,0.57663,0.62403,0.31184,1.68937,1.63361,1.74426,0.0004307,0.0004307,0.0004307
9,24.7051,1.44416,1.27015,1.46,0.59335,0.60367,0.62568,0.32698,1.66481,1.5201,1.71006,0.0004208,0.0004208,0.0004208
10,27.1596,1.40754,1.25523,1.42965,0.62191,0.60271,0.63525,0.33137,1.68432,1.46846,1.73529,0.0004109,0.0004109,0.0004109
11,29.6047,1.41325,1.21636,1.41665,0.64946,0.57912,0.62753,0.32705,1.69635,1.50476,1.72246,0.000401,0.000401,0.000401
12,31.9473,1.39851,1.17503,1.40648,0.62533,0.63315,0.66187,0.35233,1.65311,1.4653,1.7379,0.0003911,0.0003911,0.0003911
13,34.4358,1.32678,1.12792,1.37601,0.60169,0.60829,0.63894,0.34323,1.63105,1.49485,1.69426,0.0003812,0.0003812,0.0003812
14,36.7624,1.29599,1.0948,1.36017,0.68719,0.57265,0.6637,0.36215,1.65955,1.37061,1.70333,0.0003713,0.0003713,0.0003713
15,39.2508,1.27587,1.06091,1.33425,0.75907,0.61663,0.70481,0.381,1.6579,1.33882,1.69312,0.0003614,0.0003614,0.0003614
16,41.6445,1.28779,1.03049,1.33537,0.72911,0.64415,0.70442,0.38265,1.65522,1.31794,1.70125,0.0003515,0.0003515,0.0003515
17,44.034,1.25228,0.9894,1.32668,0.69111,0.63775,0.69958,0.38491,1.62503,1.32647,1.67158,0.0003416,0.0003416,0.0003416
18,46.4423,1.26772,1.02409,1.33032,0.70806,0.63368,0.69409,0.37931,1.64107,1.2956,1.69449,0.0003317,0.0003317,0.0003317
19,48.7875,1.22064,0.9633,1.29539,0.75191,0.65643,0.72153,0.39134,1.65121,1.27886,1.69882,0.0003218,0.0003218,0.0003218
20,51.1915,1.23005,0.95447,1.3146,0.76383,0.63893,0.71749,0.38873,1.66587,1.27629,1.70192,0.0003119,0.0003119,0.0003119
21,53.5109,1.21127,0.95703,1.29073,0.71905,0.66467,0.70235,0.38959,1.6357,1.28171,1.66265,0.000302,0.000302,0.000302
22,55.8458,1.19037,0.91212,1.26699,0.77317,0.59392,0.70601,0.39263,1.63673,1.22568,1.6886,0.0002921,0.0002921,0.0002921
