epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.67086,1.90843,3.40295,1.84565,0.45492,0.04765,0.02025,0.00527,2.56266,6.47993,3.04262,0.081095,9.5e-05,9.5e-05
2,9.30423,1.70043,1.97097,1.65423,0.61895,0.15802,0.2222,0.1019,2.05168,4.50313,2.15225,0.0611911,0.000191139,0.000191139
3,12.8482,1.63215,1.77845,1.63792,0.47072,0.34904,0.32286,0.15188,1.84713,3.05728,1.91636,0.0412833,0.000283318,0.000283318
4,16.3208,1.53757,1.56697,1.55069,0.57005,0.42609,0.46861,0.23066,1.74962,2.31352,1.87337,0.0213715,0.000371537,0.000371537
5,19.7885,1.53449,1.46042,1.51812,0.53747,0.54154,0.52585,0.26695,1.75115,1.90344,1.79657,0.0014558,0.000455796,0.000455796
6,23.3505,1.51433,1.43624,1.52159,0.4888,0.51566,0.4812,0.25122,1.72158,2.11743,1.78459,0.0004505,0.0004505,0.0004505
7,26.6803,1.48411,1.36658,1.50004,0.55446,0.47592,0.44872,0.22756,1.77454,2.0966,1.85411,0.0004406,0.0004406,0.0004406
8,30.0075,1.44485,1.29254,1.46865,0.63455,0.51449,0.53841,0.27461,1.73919,1.65826,1.80833,0.0004307,0.0004307,0.0004307
9,33.4331,1.4008,1.19326,1.44062,0.57948,0.56361,0.55219,0.28403,1.75128,1.60371,1.81142,0.0004208,0.0004208,0.0004208
10,36.8519,1.37606,1.22691,1.41269,0.63394,0.61979,0.6294,0.33318,1.71143,1.41017,1.79193,0.0004109,0.0004109,0.0004109
11,40.2915,1.38389,1.1856,1.39923,0.67149,0.63436,0.66766,0.37381,1.59515,1.40801,1.60721,0.000401,0.000401,0.000401
12,43.7393,1.35459,1.12571,1.37838,0.65061,0.64332,0.68157,0.37782,1.5743,1.40237,1.64756,0.0003911,0.0003911,0.0003911
13,47.2557,1.29856,1.08236,1.36039,0.69425,0.61621,0.65071,0.35571,1.6357,1.40429,1.7067,0.0003812,0.0003812,0.0003812
14,50.5757,1.2704,1.04978,1.35919,0.69905,0.58749,0.65497,0.3884,1.54695,1.36251,1.59129,0.0003713,0.0003713,0.0003713
15,53.996,1.25367,1.0052,1.32147,0.69285,0.64781,0.68187,0.38873,1.55178,1.32273,1.59633,0.0003614,0.0003614,0.0003614
16,57.4275,1.25965,0.97063,1.3232,0.72554,0.61032,0.68426,0.39412,1.56663,1.30629,1.64333,0.0003515,0.0003515,0.0003515
17,60.8539,1.23514,0.95005,1.32982,0.73578,0.61469,0.69127,0.39397,1.59649,1.28403,1.67706,0.0003416,0.0003416,0.0003416
18,64.1722,1.25002,0.9652,1.31492,0.70403,0.63291,0.68154,0.38441,1.61536,1.27511,1.66858,0.0003317,0.0003317,0.0003317
19,67.5135,1.19955,0.90779,1.28946,0.76418,0.67168,0.72736,0.41102,1.5399,1.17219,1.59313,0.0003218,0.0003218,0.0003218
20,71.0567,1.19055,0.90098,1.29894,0.77429,0.68559,0.74409,0.42089,1.55972,1.14224,1.62267,0.0003119,0.0003119,0.0003119
21,74.508,1.16336,0.8734,1.27007,0.81112,0.68007,0.76612,0.44402,1.54821,1.15642,1.55466,0.000302,0.000302,0.000302
22,77.9582,1.15731,0.85724,1.2532,0.85158,0.62354,0.74054,0.42849,1.53226,1.17987,1.5834,0.0002921,0.0002921,0.0002921
23,81.2881,1.14,0.85043,1.25938,0.74762,0.67746,0.72272,0.41309,1.54093,1.19564,1.56865,0.0002822,0.0002822,0.0002822
24,84.6159,1.11578,0.81921,1.2479,0.82791,0.67604,0.77485,0.44811,1.52333,1.12594,1.57489,0.0002723,0.0002723,0.0002723
25,88.2574,1.1281,0.81639,1.24495,0.8069,0.69774,0.77017,0.45074,1.51404,1.08444,1.59022,0.0002624,0.0002624,0.0002624
26,91.6835,1.06709,0.77102,1.21658,0.78744,0.68559,0.74763,0.43525,1.52894,1.11704,1.60149,0.0002525,0.0002525,0.0002525
27,95.1097,1.06629,0.75924,1.20266,0.77219,0.66041,0.72931,0.42922,1.52687,1.14683,1.61861,0.0002426,0.0002426,0.0002426
28,98.4299,1.01595,0.74094,1.17464,0.79758,0.68266,0.74388,0.43511,1.52044,1.07136,1.59961,0.0002327,0.0002327,0.0002327
29,101.755,1.02466,0.70747,1.17672,0.76428,0.69639,0.74474,0.44775,1.46843,1.07253,1.56269,0.0002228,0.0002228,0.0002228
30,105.084,1.03524,0.7366,1.17993,0.79196,0.66994,0.7398,0.45055,1.48791,1.10868,1.5728,0.0002129,0.0002129,0.0002129
31,108.43,1.02205,0.70544,1.1635,0.7813,0.72402,0.77544,0.47819,1.47713,1.0648,1.58809,0.000203,0.000203,0.000203
32,111.872,1.00142,0.677,1.15961,0.7925,0.70136,0.76196,0.45881,1.47967,1.10733,1.57361,0.0001931,0.0001931,0.0001931
