epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.91119,1.80418,3.1289,1.81962,0.12316,0.14317,0.0539,0.02155,2.22496,4.79892,2.47293,0.081095,9.5e-05,9.5e-05
2,16.4359,1.60626,1.82213,1.62597,0.14997,0.24026,0.11788,0.05407,2.03912,3.40956,2.3279,0.0611911,0.000191139,0.000191139
3,22.4971,1.54927,1.64238,1.6518,0.41963,0.30615,0.29066,0.14588,1.93572,3.01952,2.13899,0.0412833,0.000283318,0.000283318
4,28.1409,1.45423,1.48889,1.56519,0.39103,0.38733,0.33879,0.17229,1.89208,2.50324,2.0007,0.0213715,0.000371537,0.000371537
5,33.7181,1.4583,1.41138,1.53658,0.45536,0.5632,0.49612,0.24759,1.74908,2.02061,1.94415,0.0014558,0.000455796,0.000455796
6,40.0296,1.45631,1.395,1.52976,0.55433,0.45982,0.443,0.22852,1.77526,2.13556,1.96067,0.0004505,0.0004505,0.0004505
7,45.8392,1.4041,1.34562,1.5178,0.53225,0.49559,0.47674,0.25949,1.65392,1.90629,1.84777,0.0004406,0.0004406,0.0004406
8,52.3266,1.38839,1.24826,1.49186,0.62964,0.54237,0.55328,0.30372,1.63173,1.84433,1.86579,0.0004307,0.0004307,0.0004307
9,58.1119,1.35561,1.14947,1.47944,0.64045,0.49218,0.55981,0.2947,1.72045,1.63847,1.90081,0.0004208,0.0004208,0.0004208
10,63.4581,1.35551,1.20115,1.4795,0.66108,0.53705,0.57506,0.29169,1.7177,1.54714,1.89577,0.0004109,0.0004109,0.0004109
11,68.8371,1.34894,1.15404,1.44069,0.60873,0.60811,0.62498,0.33035,1.59746,1.49297,1.80808,0.000401,0.000401,0.000401
12,74.5086,1.32027,1.09735,1.42755,0.7044,0.56263,0.62139,0.33964,1.59307,1.54589,1.82031,0.0003911,0.0003911,0.0003911
13,80.1257,1.27416,1.05429,1.40679,0.6036,0.58699,0.58808,0.33081,1.59332,1.63352,1.78362,0.0003812,0.0003812,0.0003812
14,85.9286,1.231,1.01679,1.39938,0.61871,0.55438,0.57636,0.34788,1.52798,1.46698,1.69511,0.0003713,0.0003713,0.0003713
15,91.5308,1.21441,0.97532,1.36003,0.65974,0.66177,0.68824,0.38422,1.54157,1.27824,1.68894,0.0003614,0.0003614,0.0003614
16,97.2684,1.22314,0.95322,1.36865,0.6958,0.64999,0.6621,0.36722,1.55008,1.33918,1.72783,0.0003515,0.0003515,0.0003515
17,102.616,1.19291,0.92478,1.36549,0.69766,0.68771,0.72117,0.40666,1.49462,1.138,1.69538,0.0003416,0.0003416,0.0003416
18,108.212,1.17956,0.92453,1.35032,0.69812,0.6886,0.70772,0.41124,1.49815,1.18682,1.70817,0.0003317,0.0003317,0.0003317
19,113.817,1.14127,0.86751,1.3207,0.73901,0.67378,0.71483,0.41344,1.496,1.15618,1.69002,0.0003218,0.0003218,0.0003218
20,119.516,1.13439,0.84618,1.33444,0.78082,0.6623,0.71776,0.41666,1.4728,1.16724,1.65906,0.0003119,0.0003119,0.0003119
21,125.112,1.10512,0.83831,1.29358,0.73197,0.66741,0.69923,0.38817,1.56321,1.19058,1.72039,0.000302,0.000302,0.000302
22,130.442,1.08251,0.81004,1.25976,0.76983,0.67592,0.72897,0.42455,1.44316,1.13487,1.63708,0.0002921,0.0002921,0.0002921
