epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.1105,1.79958,3.11487,1.81515,0.2172,0.14022,0.10145,0.0425,2.11574,3.81843,2.36618,0.081095,9.5e-05,9.5e-05
2,12.0535,1.60716,1.81445,1.65677,0.2946,0.23287,0.14968,0.06445,1.97955,3.31935,2.28559,0.0611946,0.000194614,0.000194614
3,17.8351,1.57115,1.65487,1.64371,0.37119,0.31848,0.27397,0.13354,2.00382,2.88461,2.23868,0.0412938,0.000293832,0.000293832
4,23.5296,1.46535,1.44544,1.57205,0.42437,0.43041,0.38777,0.1995,1.75543,3.20127,1.93761,0.0213927,0.000392654,0.000392654
5,29.3287,1.46031,1.40802,1.5336,0.5177,0.40395,0.41197,0.21043,1.72775,3.2698,1.98715,0.00149108,0.00049108,0.00049108
6,35.0362,1.47597,1.41315,1.54824,0.49979,0.39665,0.37327,0.1924,1.75212,2.27466,1.97172,0.00049505,0.00049505,0.00049505
7,40.4463,1.44044,1.37549,1.53409,0.51419,0.46697,0.43565,0.21471,1.8313,2.42447,2.03229,0.00049406,0.00049406,0.00049406
8,46.1576,1.42297,1.26795,1.50807,0.55491,0.47923,0.46955,0.2292,1.85779,2.05347,2.13379,0.00049307,0.00049307,0.00049307
9,51.8918,1.40302,1.20298,1.52022,0.589,0.49394,0.48834,0.24485,1.82114,2.24276,2.10499,0.00049208,0.00049208,0.00049208
10,57.7567,1.40768,1.23733,1.51389,0.55675,0.49607,0.51394,0.26839,1.71169,1.7143,1.91997,0.00049109,0.00049109,0.00049109
11,63.4718,1.38965,1.2292,1.49106,0.61547,0.59845,0.63001,0.34701,1.62359,1.54455,1.80719,0.0004901,0.0004901,0.0004901
12,69.1944,1.34646,1.18205,1.45042,0.58709,0.58066,0.6013,0.33259,1.61872,1.5078,1.80945,0.00048911,0.00048911,0.00048911
13,74.6337,1.30848,1.12142,1.44261,0.60187,0.5155,0.56787,0.30397,1.72128,1.63024,1.93841,0.00048812,0.00048812,0.00048812
14,80.0533,1.30135,1.0911,1.44769,0.6166,0.55599,0.57481,0.3164,1.65778,1.50373,1.82007,0.00048713,0.00048713,0.00048713
15,85.4755,1.25439,1.0258,1.3932,0.68116,0.61209,0.65379,0.34682,1.65558,1.41287,1.80797,0.00048614,0.00048614,0.00048614
16,90.9992,1.27967,1.02983,1.41017,0.65885,0.56408,0.6029,0.33086,1.61797,1.4756,1.80069,0.00048515,0.00048515,0.00048515
17,96.4223,1.25086,1.0006,1.40766,0.64656,0.58459,0.62263,0.33571,1.62836,1.44506,1.80456,0.00048416,0.00048416,0.00048416
18,101.839,1.27139,1.01125,1.40273,0.68363,0.54953,0.60559,0.3317,1.68667,1.57155,1.86064,0.00048317,0.00048317,0.00048317
19,107.288,1.2229,0.97725,1.37493,0.71449,0.62972,0.67388,0.36217,1.66108,1.29053,1.8603,0.00048218,0.00048218,0.00048218
20,113.017,1.23577,0.96839,1.41318,0.73389,0.62326,0.69236,0.39684,1.60691,1.2752,1.78113,0.00048119,0.00048119,0.00048119
21,118.822,1.1984,0.95194,1.36992,0.72348,0.60164,0.67473,0.38024,1.60899,1.27098,1.7772,0.0004802,0.0004802,0.0004802
22,124.272,1.18565,0.94181,1.33589,0.68361,0.63118,0.67308,0.36923,1.55895,1.39508,1.79635,0.00047921,0.00047921,0.00047921
23,129.711,1.17638,0.95627,1.35148,0.70961,0.64518,0.66957,0.38866,1.51953,1.31646,1.71705,0.00047822,0.00047822,0.00047822
24,135.158,1.12747,0.87321,1.31866,0.73546,0.67442,0.72767,0.42305,1.53354,1.13848,1.72984,0.00047723,0.00047723,0.00047723
25,140.885,1.16229,0.88008,1.34377,0.75024,0.63307,0.65352,0.37934,1.55802,1.487,1.74605,0.00047624,0.00047624,0.00047624
26,146.389,1.11547,0.86217,1.31367,0.75072,0.70652,0.73345,0.42175,1.54387,1.11195,1.76873,0.00047525,0.00047525,0.00047525
27,151.831,1.12069,0.84625,1.30744,0.7681,0.67735,0.74345,0.43641,1.50657,1.06305,1.67522,0.00047426,0.00047426,0.00047426
28,157.543,1.09422,0.81845,1.29155,0.7661,0.64881,0.72293,0.43412,1.50613,1.10827,1.67356,0.00047327,0.00047327,0.00047327
29,162.98,1.0712,0.77637,1.2683,0.7273,0.68099,0.70861,0.40583,1.55877,1.21231,1.73028,0.00047228,0.00047228,0.00047228
30,168.404,1.09873,0.81609,1.28434,0.76886,0.67933,0.72656,0.41927,1.50729,1.13606,1.68818,0.00047129,0.00047129,0.00047129
31,173.908,1.07934,0.79379,1.26071,0.74872,0.64483,0.68601,0.39968,1.53571,1.13829,1.72416,0.0004703,0.0004703,0.0004703
32,179.308,1.06108,0.775,1.26709,0.78844,0.6684,0.73009,0.41643,1.50211,1.1266,1.71589,0.00046931,0.00046931,0.00046931
33,184.731,1.06153,0.75542,1.26637,0.74908,0.67231,0.71769,0.42557,1.50352,1.13931,1.70364,0.00046832,0.00046832,0.00046832
34,190.196,1.06691,0.75406,1.26016,0.74527,0.65952,0.70909,0.39529,1.53645,1.14945,1.74016,0.00046733,0.00046733,0.00046733
35,195.645,1.08504,0.77663,1.27049,0.79989,0.67129,0.75209,0.42617,1.55069,1.10465,1.71676,0.00046634,0.00046634,0.00046634
36,201.074,1.04509,0.77006,1.25074,0.77375,0.69274,0.74659,0.4475,1.48656,1.09868,1.66527,0.00046535,0.00046535,0.00046535
37,206.841,1.03739,0.7473,1.23319,0.74137,0.69217,0.72657,0.43126,1.50164,1.14883,1.68764,0.00046436,0.00046436,0.00046436
38,212.325,1.00692,0.71765,1.21516,0.80526,0.65721,0.74137,0.44503,1.46592,1.12141,1.67325,0.00046337,0.00046337,0.00046337
