epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.11471,1.76627,4.22296,1.7354,0.02085,0.16745,0.04469,0.02345,1.79031,4.07723,1.72363,0.000163333,0.000163333,0.000163333
2,8.98567,1.7128,3.22705,1.66668,0.58339,0.13877,0.1392,0.06637,1.91122,2.91069,1.81726,0.000313665,0.000313665,0.000313665
3,12.8193,1.6769,2.66917,1.63256,0.51015,0.26555,0.20534,0.09904,1.90576,2.52462,1.84943,0.000447497,0.000447497,0.000447497
4,16.5827,1.63142,2.44,1.5986,0.39168,0.32932,0.24115,0.12082,1.89315,2.45347,1.79692,0.00042575,0.00042575,0.00042575
5,20.323,1.60432,2.35027,1.59087,0.44137,0.32357,0.29782,0.15054,1.83946,2.16766,1.78679,0.000401,0.000401,0.000401
6,24.0527,1.56021,2.2121,1.53179,0.45061,0.32017,0.28769,0.145,1.82499,2.08709,1.74099,0.00037625,0.00037625,0.00037625
7,27.7523,1.51162,2.16215,1.52674,0.39632,0.36327,0.25381,0.12793,1.80605,2.11137,1.71545,0.0003515,0.0003515,0.0003515
8,31.4533,1.49122,2.06263,1.51776,0.45358,0.34435,0.29576,0.14787,1.78593,1.91313,1.70387,0.00032675,0.00032675,0.00032675
9,35.1361,1.46876,2.01867,1.49167,0.46173,0.43054,0.32813,0.17264,1.76931,1.89862,1.68235,0.000302,0.000302,0.000302
10,38.8742,1.45742,1.95091,1.48419,0.52898,0.38034,0.35689,0.18619,1.75494,1.83859,1.655,0.00027725,0.00027725,0.00027725
11,43.2332,1.4946,2.04389,1.52291,0.49065,0.38089,0.33379,0.17785,1.74811,1.93899,1.68547,0.0002525,0.0002525,0.0002525
12,46.9265,1.43699,1.95623,1.49345,0.51174,0.43407,0.35917,0.18771,1.74369,1.84046,1.63128,0.00022775,0.00022775,0.00022775
13,50.6251,1.4208,1.92884,1.49044,0.5236,0.39062,0.35707,0.19038,1.74078,1.82439,1.64338,0.000203,0.000203,0.000203
14,54.3161,1.38415,1.80175,1.43651,0.55065,0.39805,0.37844,0.1992,1.75147,1.77868,1.65324,0.00017825,0.00017825,0.00017825
15,57.9863,1.39245,1.78803,1.43581,0.55722,0.40285,0.38926,0.21079,1.70688,1.68381,1.6027,0.0001535,0.0001535,0.0001535
16,61.6677,1.38024,1.7162,1.43103,0.53928,0.44211,0.3796,0.203,1.71668,1.75194,1.60899,0.00012875,0.00012875,0.00012875
17,65.3129,1.35091,1.68372,1.40869,0.57855,0.4057,0.36811,0.19659,1.72707,1.76688,1.60188,0.000104,0.000104,0.000104
18,68.9673,1.31234,1.62033,1.37328,0.54741,0.45497,0.39539,0.21112,1.71967,1.69058,1.60899,7.925e-05,7.925e-05,7.925e-05
19,72.647,1.28788,1.61959,1.37412,0.56214,0.44781,0.40065,0.21591,1.70986,1.68742,1.60055,5.45e-05,5.45e-05,5.45e-05
20,76.3419,1.28336,1.57617,1.35439,0.60847,0.3916,0.39234,0.2128,1.71257,1.69542,1.59984,2.975e-05,2.975e-05,2.975e-05
